,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
165,325,HBCR11,0.4782,0.0000,0.1767,0.5300,0.2500,1.5000,0.2950,3.5400,0.0000,,0.0000,,1.5000,2024,,,,,,,,,,,,,Indefinido,indefinido,132,6774013.2,172592375.02,1.1221,,HBCR11,5,29.607786252864,65,,,
166,360,HBRH11,0.5000,0.0000,0.0000,0.0000,0.2517,1.5100,0.4117,4.9400,0.0000,,0.0000,,1.2600,2024,0.1517,112.0800,-0.9894,310700457.5500,7.1391,-0.8392,1.0439,0.3480,2.4319,0.4053,5.3190,0.4432,Lajes Corporativas,lajes-corporativas,90.8,14627,310700457.55,0.8029,0.8101356174161313,HBRH11,5,13.976304501315,834,,,
167,331,HCHG11,0.7000,0.9300,0.9500,2.8500,0.8967,5.3800,0.9317,11.1800,-4.4695,1.1241,-3.5811,75.4500,4.7200,2024,0.8002,97.4700,-3.6096,116966800.3700,12.2077,-2.8382,2.3515,0.7838,4.2634,0.7106,9.1357,0.7613,Papéis,papeis,71.52,14710.81,116966800.37,0.7338,0.7337642351492767,HCHG11,0,26.987921861131,948,,,
168,2612,HCRA11,0.7700,0.0000,0.0000,0.0000,0.1833,1.1000,0.6692,8.0300,0.0000,,0.0000,,2.1300,2024,,,,,,,,,,,,,Indefinido,indefinido,73,462.33,0,0,,HCRA11,,54.137453366046,0,,,
169,212,HCRI11,2.4000,0.7900,0.8167,2.4500,0.9000,5.4000,0.9342,11.2100,1.1728,4.4984,1.9721,304.5200,4.4100,2024,0.7584,321.2200,4.3058,64243063.7900,12.4728,5.0968,2.3804,0.7935,5.4809,0.9135,10.7339,0.8945,Hospitalar,hospitalar,292.98,32371.95,64243063.79,0.9121,0.9120851752692858,HCRI11,1,16.921329582342,3218,,,
170,355,HCTR11,0.3800,1.1600,1.1133,3.3400,1.0233,6.1400,0.9150,10.9800,-5.9804,-5.7746,-4.8898,32.7000,5.2100,2024,0.2853,112.1800,-7.5795,2477349233.5600,9.2752,-7.3159,0.9385,0.3128,1.8456,0.3076,3.8887,0.3241,Papéis,papeis,31,984525.9,2477349233.56,0.2763,0.27634159386699947,HCTR11,0,44.324917503701,174538,,,
171,89,HDEL11,5.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,110,5500,76620324.06,1.206,,HDEL11,0,70.894254004984,75,,,
172,274,HFOF11,0.6300,0.8200,0.8133,2.4400,0.8167,4.9000,0.8133,9.7600,-1.7321,8.9122,-0.9263,76.5900,4.0400,2024,0.7972,79.0300,-2.2873,1821118103.9600,2.5782,-1.5084,2.3558,0.7853,4.6975,0.7829,9.3020,0.7752,Fundo de Fundos,fundo-de-fundos,74.9,1290882.52,1821118103.96,0.9477,0.9477413640389726,HFOF11,0,13.171189397193,77314,,,
173,476,HGAG11,0.1600,0.8000,0.7367,2.2100,0.8250,4.9500,0.8383,10.0600,-4.7619,-7.0731,-4.0000,20.0000,4.2400,2024,0.6737,23.7500,0.0000,5895203.8200,0.0000,0.0000,3.4509,1.1503,5.4377,0.9063,10.4997,1.3125,Indefinido,indefinido,17,5115.57,5868290.64,0.7191,0.7157894736842105,HGAG11,0,55.740845148893,1437,,,
174,3375,HGBL11,0.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,,,,,,,,,,,,,Misto,misto,10.15,389787.92,24382888.29,0.999,,HGBL11,,26.910346579781,125,,,
175,374,HGBS11,1.7500,0.7900,0.7700,2.3100,0.8083,4.8500,0.7917,9.5000,-2.7087,3.7705,-1.9401,222.6900,3.9500,2024,0.7674,228.0500,2.7623,2902985299.4400,14.6447,3.5508,2.2819,0.7606,4.9004,0.8167,9.5695,0.7975,Shoppings,shoppings,218.77,4037971.62,2902985299.44,0.9593,0.9593071694803771,HGBS11,14,9.301769740568,118044,,,
176,231,HGCR11,0.9500,0.9100,0.9000,2.7000,0.9183,5.5100,0.9867,11.8400,-1.3682,5.2883,-0.4706,104.5300,4.5500,2024,0.9487,100.1400,-0.8122,1544044606.2200,13.8589,0.1288,2.8173,0.9391,5.7554,0.9592,12.2823,1.0235,Papéis,papeis,105.26,2879427.24,1544044606.22,1.0511,1.0511284202117037,HGCR11,0,10.479390281141,103564,,,
177,387,HGFF11,0.7000,0.7900,0.7867,2.3600,0.7950,4.7700,0.7875,9.4500,-3.2697,9.4028,-2.5055,88.1600,3.9300,2024,0.7576,92.4000,6.4026,264589599.3700,12.9335,7.2087,2.2413,0.7471,4.4897,0.7483,8.8610,0.7384,Fundo de Fundos,fundo-de-fundos,86.94,554700.9,264589599.37,0.9409,0.9409090909090908,HGFF11,0,14.792746565705,16348,,,
178,437,HGIC11,1.0000,1.0000,0.7667,2.3000,0.8317,4.9900,0.9133,10.9600,0.5026,-1.4352,1.5076,99.9800,4.0400,2024,0.5629,117.2400,2.1967,54245414.2800,22.1864,2.7720,1.8271,0.6090,4.3846,0.7308,10.0646,0.8387,Papéis,papeis,97,14111.22,54245414.28,0.8274,0.8273626748549984,HGIC11,2,21.277566686204,373,,,
179,346,HGLG11,1.1000,0.6600,0.6533,1.9600,0.6650,3.9900,0.6925,8.3100,-1.4024,6.7032,-0.7516,166.6300,3.3100,2024,0.7004,157.0600,1.9671,5306763276.8300,19.0395,2.6813,2.0955,0.6985,4.2062,0.7010,8.7683,0.7307,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,163.39,6286351.52,5306763276.83,1.0403,1.0403030688908697,HGLG11,25,8.909854694093,470375,,,
180,306,HGPO11,1.5000,0.4900,0.4967,1.4900,0.5117,3.0700,0.5383,6.4600,0.3466,13.6989,0.8383,306.9200,2.5300,2024,0.4855,308.9300,3.1934,541569279.9500,23.5604,3.6944,1.4573,0.4858,2.9314,0.4886,6.0741,0.5062,Lajes Corporativas,lajes-corporativas,307.37,641394,541569279.95,0.995,0.9949503123684977,HGPO11,2,16.700537108495,19813,,,
181,225,HGRE11,0.7800,0.6300,0.6100,1.8300,0.6517,3.9100,0.6517,7.8200,-4.8207,-1.4095,-4.2210,124.1900,3.3100,2024,0.5087,153.3200,-2.2755,1811957286.4600,-1.4725,-1.7783,1.5263,0.5088,3.5967,0.5995,7.0083,0.5840,Lajes Corporativas,lajes-corporativas,118.02,1844209,1811957286.46,0.7698,0.7697625880511348,HGRE11,16,17.305225333562,152695,,,
182,71,HGRS11,29.3210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,0.0000,92.8601,0.0000,110907626.7300,0.0000,0.0000,,,,,,,Imóveis Residenciais,imoveis-residenciais,0,,58983088.31,0,,HGRS11,2,,6,,,
183,298,HGRU11,0.8500,0.6300,0.6233,1.8700,0.7917,4.7500,0.7533,9.0400,-0.6892,4.9201,-0.0635,135.4500,4.1200,2024,0.6747,125.9800,2.5144,2318783130.4600,17.3238,3.2061,2.0177,0.6726,6.3295,1.0549,10.9025,0.9085,Misto,misto,129.89,3924308.1,2318783130.46,1.031,1.0310366724876963,HGRU11,68,14.202327732168,205457,,,
184,2789,HILG11,2.1347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,,,,,,,,,,,,,Indefinido,indefinido,0,,98614415.5,0,,HILG11,1,,50,,,
185,254,HLOG11,0.4600,0.5600,0.5500,1.6500,0.6167,3.7000,0.6600,7.9200,-4.0237,-4.9846,-3.4863,82.5300,2.9700,2024,0.3952,116.4100,-0.0515,494738819.9800,11.2487,0.3434,1.1842,0.3947,2.8625,0.4771,6.2454,0.5204,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,78.52,225998.9,494738819.98,0.6745,0.6745124989262091,HLOG11,5,15.436859553285,4101,,,
186,1852,HOFC11,0.2500,1.3400,0.8033,2.4100,0.7067,4.2400,0.8092,9.7100,-7.0149,-5.7689,-5.7689,18.6900,1.3400,2024,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,30.71,164506.48,263042646.96,0.4412,,HOFC11,4,35.728600892117,6031,,,
187,129,HOSI11,0.5933,0.6800,0.6833,2.0500,0.9233,5.5400,1.0108,12.1300,-2.2138,12.2564,-1.5489,87.9000,4.6000,2024,0.6576,92.2700,0.2281,52910981.0300,6.7280,0.8872,2.5567,0.8522,6.0039,1.0007,10.5550,0.8796,Imóveis Residenciais,imoveis-residenciais,100,29658.1,52910981.03,1.0838,1.0837758751490192,HOSI11,0,45.345520647807,1497,,,
188,385,HPDP11,0.5300,0.6100,0.6033,1.8100,0.6050,3.6300,0.6333,7.6000,-2.6710,4.3282,-2.0773,87.0900,3.0100,2024,0.5555,95.4100,6.8900,313695099.1500,7.2409,7.4838,1.6653,0.5551,3.3738,0.5623,7.4249,0.6187,Shoppings,shoppings,90,3392.8,313695099.15,0.9433,0.9432973482863432,HPDP11,1,34.682142995422,436,,,
189,172,HRDF11,5.4000,,,,,,,,,,,,,,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,3.48,1589.53,11830169.89,0.4462,,HRDF11,0,387.54666686779,1135,,,
190,341,HREC11,0.0800,0.9200,0.9133,2.7400,0.9367,5.6200,0.9800,11.7600,-1.2514,8.5627,-0.3429,8.6800,4.6000,2024,0.8889,9.0000,-89.8740,463963776.2000,-88.7548,-89.7840,2.6271,0.8757,5.3834,0.8972,10.9993,0.9166,Papéis,papeis,8.64,1666852.86,463963776.2,0.96,0.9600000000000001,HREC11,0,11.123810548686,2734,,,
191,262,HSAF11,1.0500,1.2300,1.1233,3.3700,1.0217,6.1300,1.0208,12.2500,-5.2252,5.9683,-4.0595,85.4300,5.1900,2024,1.1213,89.1800,-2.3648,225298978.2700,7.7039,-1.2700,3.0286,1.0095,5.5183,0.9197,11.1798,0.9317,Papéis,papeis,86.25,713945.57,225298978.27,0.9671,0.967145099798161,HSAF11,0,14.352422093014,11492,,,
192,125,HSLG11,0.7400,0.8200,0.7800,2.3400,0.7767,4.6600,0.7817,9.3800,-8.8797,3.0529,-8.1325,90.2000,3.8500,2024,0.7096,104.2900,-0.6194,1320360132.1500,1.4788,0.0858,2.1349,0.7116,4.2797,0.7133,8.5060,0.7088,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,91.99,593402.24,1320360132.15,0.8821,0.8820596413846006,HSLG11,5,14.541838848463,37121,,,
193,371,HSML11,0.8000,0.8300,0.8267,2.4800,0.8083,4.8500,0.8025,9.6300,-1.2755,7.7458,-0.4561,96.7500,4.0600,2024,0.8343,95.8900,-1.7319,1957824495.5400,4.2718,-0.9121,2.4536,0.8179,4.8472,0.8079,9.5244,0.7937,Shoppings,shoppings,96.71,3721329.29,1957824495.54,1.0086,1.0085514652205652,HSML11,7,10.146459977291,193174,,,
194,269,HSRE11,0.7300,0.6700,0.5967,1.7900,0.5817,3.4900,0.4325,5.1900,1.9551,5.6098,2.6382,108.9900,2.9300,2024,0.6312,95.0500,-1.0308,845831043.5400,5.9242,-0.4061,1.9116,0.6372,3.8346,0.6391,7.7317,0.6443,Misto,misto,108.99,1249177.45,845831043.54,1.1467,1.1466596528143083,HSRE11,27,24.869241222419,280,,,
195,448,HTMX11,2.1865,1.2400,1.2833,3.8500,1.3483,8.0900,1.5200,18.2400,-1.4540,6.0747,-0.2321,176.8900,6.0000,2024,1.2123,137.0700,-2.3370,206198636.1800,14.3802,-1.1530,3.6885,1.2295,10.8539,1.8090,21.2895,1.7741,Hotéis,hoteis,187.57,867851.19,206198636.18,1.3684,1.3684248923907494,HTMX11,22,37.495598874849,35087,,,
196,80,HUCG11,0.2200,0.2000,0.1333,0.4000,0.1383,0.8300,0.2458,2.9500,8.0000,8.2160,8.2160,108.0000,0.2000,2024,,,,,,,,,,,,,Hospitalar,hospitalar,84.8,3403.08,116452774.76,0.817,,HUCG11,2,83.796953949938,244,,,
197,156,HUSC11,0.8500,0.0000,0.5000,1.5000,0.5017,3.0100,0.6700,8.0400,0.0000,,0.0000,,2.2400,2024,0.5497,154.6300,5.3697,131566379.8000,14.6202,5.9489,1.6464,0.5488,3.5223,0.5870,7.2581,0.6048,Hospitalar,hospitalar,116.39,1641.87,131566379.8,0.7527,0.7526999935329497,HUSC11,2,42.669138210526,779,,,
198,392,HUSI11,8.2031,0.7100,0.6867,2.0600,0.5683,3.4100,0.3408,4.0900,-3.7665,-1.5439,-3.0833,1149.9900,3.4100,2024,0.6889,1187.5000,19.5703,138180301.3800,26.6355,20.3940,2.0175,0.6725,4.1767,0.6961,8.5278,0.7107,Hospitalar,hospitalar,1020,1720,138180301.38,0.8589,0.8589473684210527,HUSI11,0,137.50591545432,92,,,
199,2567,IAAG11,0.1000,1.0300,1.1633,3.4900,1.0667,6.4000,1.0589,9.5300,10.1810,6.1414,11.3159,9.7400,5.5800,2024,1.1387,9.6600,0.0000,52611314.7000,0.0000,0.0000,2.7924,0.9308,5.4916,0.9153,6.8407,0.9772,Indefinido,indefinido,9.69,174442.84,52611314.7,1.0031,1.0031055900621118,IAAG11,,11.374763331331,2045,,,
200,478,IAGR11,0.0250,0.6300,0.6567,1.9700,0.9825,3.9300,0.9825,3.9300,-4.8193,-1.3745,-4.2196,3.9500,3.9300,2024,0.5376,8.3700,0.0000,23321226.9700,0.0000,0.0000,1.5397,0.7699,1.5397,0.7699,1.5397,0.7699,Indefinido,indefinido,3.5,33872.63,23321226.97,0.4182,0.41816009557945044,IAGR11,,103.97995230251,3763,,,
201,208,IBCR11,0.9000,1.1700,1.1300,3.3900,1.1833,7.1000,1.1983,14.3800,-4.0325,4.5158,-2.9096,76.8700,5.8200,2024,0.9452,95.2200,1.3842,91259345.6200,10.9970,2.3424,2.9311,0.9770,6.0470,1.0078,12.0370,1.0031,Papéis,papeis,74.34,230273.19,91259345.62,0.7807,0.780718336483932,IBCR11,0,11.700571404664,4049,,,
202,185,IBFF11,14.7925,0.0000,0.1467,0.4400,0.4750,2.8500,0.6683,8.0200,0.0000,,0.0000,,6.2500,2022,100.0846,14.7800,-79.0859,9855905.1600,-58.4748,-58.1541,101.1730,33.7243,103.2360,17.2060,107.5171,8.9598,Fundo de Fundos,fundo-de-fundos,66.4,162549.5,9855905.16,4.4926,4.49255751014885,IBFF11,0,4.204075241659,3870,,,
203,3241,ICNE11,36.4174,,,,,,,,,,,,,,,,,,,,,,,,,,Imóveis Residenciais,imoveis-residenciais,0,,107653904.79,0,,ICNE11,,,5,,,
