papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
MTIG3,5.21,-11.22,-81.36,12.686,0.0,8.36,-11.54,-21.36,-9.97,-22.62,-24.76,-0.5938,-1.1309,-0.478,7.2528,0.27,0.0,-7835380.0,-4.95,-0.26539999999999997
MTIG4,23.0,-49.52,-359.15,56.001,0.0,36.906,-50.93,-94.31,-44.0,-95.57,-104.6,-0.5938,-1.1309,-0.478,7.2528,0.27,0.0,-7835380.0,-4.95,-0.26539999999999997
MTRE3,3.57,5.2,0.39,0.385,0.1566,0.183,0.38,12.99,0.68,26.83,18.77,0.0296,0.07980000000000001,0.0159,0.07429999999999999,2.61,6290540.0,976796000.0,0.6,0.3335
MTSA4,44.3,5.5,0.87,0.761,0.0596,0.705,1.17,10.36,1.2,6.92,5.12,0.07339999999999999,0.1383,0.1016,0.1585,4.52,150719.0,446721000.0,0.07,0.19269999999999998
MULT3,22.88,12.72,1.94,6.582,0.0447,1.189,22.35,9.25,-5.35,10.6,9.7,0.7112,0.5173,0.1448,0.1524,1.48,153659000.0,7087620000.0,0.44,0.1623
MWET3,9.16,-0.76,-3.52,0.072,0.0,0.06,-1.54,-1.72,-0.1,-10.03,-16.68,-0.04190000000000001,-0.0946,-0.0379,4.6079,0.92,47.14,-5361000.0,-17.04,0.15439999999999998
MWET4,8.57,-0.71,-3.29,0.068,0.0,0.056,-1.44,-1.61,-0.09,-9.91,-16.49,-0.04190000000000001,-0.0946,-0.0379,4.6079,0.92,60889.0,-5361000.0,-17.04,0.15439999999999998
MYPK3,10.75,16.98,0.44,0.114,0.008100000000000001,0.115,0.65,2.07,-0.55,7.02,4.44,0.055,0.0129,0.07980000000000001,0.025699999999999997,1.54,15861200.0,3787200000.0,1.65,0.1435
MYPK4,31.79,50.21,1.29,0.336,0.0,0.339,1.92,6.11,-1.61,11.07,7.0,0.055,0.0129,0.07980000000000001,0.025699999999999997,1.54,0.0,3787200000.0,1.65,0.1435
NAFG3,64.37,11.8,2.76,1.102,0.0,1.153,3.2,7.35,60.48,8.64,6.57,0.1499,0.0928,0.19920000000000002,0.23420000000000002,2.52,0.0,316392000.0,0.81,0.0949
NAFG4,64.42,11.81,2.76,1.103,0.0,1.154,3.2,7.36,60.52,8.65,6.57,0.1499,0.0928,0.19920000000000002,0.23420000000000002,2.52,0.0,316392000.0,0.81,0.0949
NATU3,36.86,0.0,3.6,0.0,0.0,1.81,4.78,0.0,10.46,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,9423250000.0,0.26,0.1263
NEOE3,18.66,5.18,0.73,0.514,0.0527,0.222,9.4,2.53,-0.48,6.99,5.38,0.20309999999999997,0.1008,0.09939999999999999,0.1413,1.11,27508300.0,30954000000.0,1.55,0.12140000000000001
NETC3,38.5,123.1,2.12,1.29,0.0,1.074,-33.02,10.82,-2.96,12.15,5.27,0.1193,0.0155,0.10949999999999999,0.0172,0.8,0.0,6812390000.0,0.28,0.6663
NETC4,40.0,127.89,2.2,1.34,0.0,1.116,-34.31,11.24,-3.08,12.57,5.45,0.1193,0.0155,0.10949999999999999,0.0172,0.8,0.0,6812390000.0,0.28,0.6663
NEXP3,4.14,-0.25,-0.07,0.099,0.0,0.097,-0.18,-0.38,-0.05,-2.31,-3.87,-0.26239999999999997,-0.38380000000000003,-0.281,0.28850000000000003,0.42,9087.65,-150205000.0,-0.42,-0.013500000000000002
NGRD3,0.84,-46.9,0.45,0.752,0.006500000000000001,0.309,1.26,230.43,3.47,59.55,2.06,0.0033,-0.020499999999999997,0.0019,-0.0095,2.6,675486.0,448125000.0,0.05,0.0662
NINJ3,4.45,26.05,0.8,3.622,0.0,0.752,0.82,-12.47,0.83,2.78,3.31,-0.29059999999999997,0.1391,-1.0979,0.030699999999999998,17.48,246800.0,283323000.0,0.0,-0.0037
NORD3,8.2,-5.85,-0.33,21.093,0.0,2.833,-0.32,-196.71,-0.3,-334.13,-334.13,-0.1072,-3.6037,-0.0146,0.0562,0.01,6508.65,-165175000.0,-0.23,0.1168
NTCO3,15.1,7.78,0.95,0.821,0.049,0.503,4.29,10.91,-4.79,11.08,6.55,0.07519999999999999,0.10550000000000001,0.063,0.1219,1.47,113335000.0,22070700000.0,0.28,-0.12689999999999999
NUTR3,5.2,12.57,1.86,0.34,0.0,0.61,2.17,6.02,101.73,6.58,6.12,0.0565,0.027000000000000003,0.1305,0.1478,1.71,48694.4,37072000.0,0.2,0.3293
